Station ID, Station Name, First Year, Last Year, Year Range, % Complete, MSL Trends (mm/yr), +/- 95% CI (mm/yr) , MSL Trend (ft/century), +/- 95% CI (ft/century), Latitude, Longitude
9452400,"Skagway, AK",1944,2014,70,80,-17.59,0.54,-5.77,0.18,59.4500,-135.3270
9453220,"Yakutat, AK",1988,2014,26,95,-14.35,1.59,-4.71,0.52,59.5485,-139.7334
9454050,"Cordova, AK",1988,2014,26,94,-0.26,1.45,-0.09,0.48,60.5583,-145.7530
9454240,"Valdez, AK",1988,2014,26,95,-8.98,1.60,-2.94,0.52,61.1250,-146.3620
9455090,"Seward, AK",1964,2014,50,86,-2.66,0.71,-0.87,0.23,60.1200,-149.4267
9455500,"Seldovia, AK",1964,2014,50,96,-10.24,0.82,-3.36,0.27,59.4405,-151.7199
9455760,"Nikiski, AK",1973,2014,41,51,-10.52,1.11,-3.45,0.36,60.6833,-151.3980
9455920,"Anchorage, AK",1972,2014,42,86,-0.61,1.13,-0.20,0.37,61.2383,-149.8900
9457292,"Kodiak Island, AK",1975,2014,39,52,-10.77,0.91,-3.53,0.30,57.7317,-152.5120
9459450,"Sand Point, AK",1972,2014,42,96,0.68,0.95,0.22,0.31,55.3367,-160.5020
9461380,"Adak Island, AK",1957,2014,57,89,-2.96,0.42,-0.97,0.14,51.8633,-176.6320
9462620,"Unalaska, AK",1957,2014,57,64,-5.26,0.53,-1.72,0.17,53.8800,-166.5370
9731158,"Guantanamo Bay, Cuba",1937,1971,34,57,1.64,0.80,0.54,0.26,19.9067,-75.1467
9751401,"Lime Tree Bay, VI",1977,2014,37,87,2.29,0.83,0.75,0.27,17.6947,-64.7538
9751639,"Charlotte Amalie, VI",1975,2014,39,90,1.77,0.70,0.58,0.23,18.3358,-64.9200
9755371,"San Juan, PR",1962,2014,52,91,1.87,0.42,0.62,0.14,18.4589,-66.1164
9759110,"Magueyes Island, PR",1955,2014,59,96,1.60,0.32,0.52,0.10,17.9701,-67.0464
