Site	Site (PSMSL Name)	PSMSL ID	NOAA Station ID	lambda	u	shape	5	95	scale	5	95	AEP1.0	5	95	AEP0.1	5	95	AEP0.01	5	95	AEP0.001	5	95	AEP 1.0 expected	AEP0.1 expected	AEP0.01 expected	AEP0.001 expected	Vshape	Vscale	Vscaleshape
La Jolla, CA	LA JOLLA (SCRIPPS PIER)	256	9410230	1.9213	0.4981	-0.2076	-0.3375	-0.0776	0.0662	0.0544	0.0781	0.5386	0.5324	0.5443	0.6435	0.6287	0.6597	0.7089	0.6788	0.7510	0.7391	0.6964	0.8050	0.5383	0.6444	0.7140	0.7564	0.006214	5.175e-05	-0.000475
Los Angeles, CA	LOS ANGELES	245	9410660	1.9011	0.4965	-0.2225	-0.3195	-0.1257	0.0667	0.0563	0.0771	0.5365	0.5310	0.5418	0.6405	0.6271	0.6541	0.7032	0.6790	0.7303	0.7315	0.6989	0.7719	0.5363	0.6410	0.7054	0.7403	0.003466	3.989e-05	-0.000298
Port San Luis, CA	PORT SAN LUIS	508	9412110	1.8939	0.4717	-0.1094	-0.2376	0.0193	0.0791	0.0637	0.0945	0.5205	0.5123	0.5284	0.6709	0.6444	0.6968	0.7863	0.7292	0.8622	0.8516	0.7680	0.9784	0.5202	0.6707	0.7944	0.8810	0.006096	8.763e-05	-0.0005439
Monterey, CA	MONTEREY	1352	9413450	1.6830	0.4633	-0.0863	-0.2674	0.0948	0.0781	0.0572	0.0990	0.5030	0.4933	0.5123	0.6575	0.6198	0.6997	0.7839	0.7029	0.9071	0.8604	0.7371	1.0767	0.5025	0.6590	0.8009	0.9176	0.01214	0.0001617	-0.001037
San Francisco, CA	SAN FRANCISCO	10	9414290	1.7788	0.4156	0.0273	-0.1022	0.1570	0.0841	0.0695	0.0988	0.4645	0.4572	0.4717	0.6666	0.6338	0.7033	0.8845	0.7840	1.0275	1.0456	0.8703	1.3302	0.4643	0.6674	0.8945	1.0918	0.0062	7.907e-05	-0.0005099
Charleston, OR	CHARLESTON II	1269	9432780	1.5833	0.6532	-0.2852	-0.4800	-0.0904	0.1624	0.1161	0.2087	0.7230	0.7050	0.7397	0.9625	0.9115	1.0049	1.0873	1.0125	1.1846	1.1388	1.0386	1.2940	0.7219	0.9634	1.1006	1.1851	0.01401	0.000795	-0.002857
South Beach, OR	SOUTH BEACH	1196	9435380	1.9787	0.6864	-0.1343	-0.2955	0.0269	0.1366	0.1047	0.1685	0.7756	0.7570	0.7921	1.0215	0.9696	1.0758	1.2000	1.0970	1.3550	1.2968	1.1414	1.5678	0.7747	1.0223	1.2213	1.3689	0.009596	0.0003763	-0.001482
Astoria, OR	ASTORIA (TONGUE POINT)	265	9439040	1.8358	0.6810	-0.3160	-0.4687	-0.1636	0.1768	0.1401	0.2135	0.7785	0.7614	0.7945	1.0155	0.9816	1.0496	1.1307	1.0726	1.2074	1.1746	1.0978	1.2904	0.7779	1.0170	1.1408	1.2100	0.008587	0.0004972	-0.001829
Toke Point, WA	TOKE POINT, WILLIPA BAY, WA	1354	9440910	2.4285	0.8320	0.0167	-0.1746	0.2079	0.1541	0.1139	0.1944	0.9702	0.9398	0.9965	1.3329	1.2368	1.4575	1.7151	1.4504	2.1564	1.9899	1.5465	2.8757	0.9685	1.3361	1.7741	2.2122	0.01351	0.0005999	-0.002051
Neah Bay, WA	NEAH BAY	385	9443090	1.8333	0.7302	-0.2878	-0.4335	-0.1421	0.1821	0.1464	0.2178	0.8312	0.8145	0.8468	1.0885	1.0557	1.1213	1.2216	1.1598	1.3001	1.2759	1.1881	1.3973	0.8308	1.0884	1.2291	1.3078	0.00781	0.0004717	-0.001683
Seattle, WA	SEATTLE	127	9447130	2.0974	0.5699	-0.1656	-0.2704	-0.0608	0.1222	0.1040	0.1404	0.6549	0.6444	0.6651	0.8611	0.8357	0.8892	1.0021	0.9466	1.0729	1.0731	0.9901	1.1926	0.6548	0.8618	1.0089	1.0985	0.004074	0.0001221	-0.0005689
Nawiliwili, HI	NAWILIWILI BAY, KAUAI ISLAND	756	1611400	1.4940	0.2551	0.1711	0.0327	0.3097	0.0328	0.0255	0.0401	0.2687	0.2658	0.2716	0.3675	0.3444	0.3946	0.5127	0.4396	0.6240	0.6555	0.5118	0.9186	0.2689	0.3682	0.5242	0.6992	0.007095	1.95e-05	-0.000158
Honolulu, HI	HONOLULU	155	1612340	1.4375	0.2588	-0.1563	-0.2520	-0.0607	0.0439	0.0365	0.0513	0.2743	0.2719	0.2767	0.3544	0.3439	0.3653	0.4099	0.3905	0.4331	0.4388	0.4100	0.4749	0.2745	0.3549	0.4124	0.4458	0.003374	2.012e-05	-0.0001901
Mokuoloe, HI	MOKUOLOE ISLAND	823	1612480	1.6877	0.2720	-0.3574	-0.5976	-0.1165	0.0475	0.0324	0.0626	0.2946	0.2883	0.3004	0.3559	0.3429	0.3672	0.3826	0.3634	0.4102	0.3926	0.3682	0.4322	0.2943	0.3567	0.3887	0.4094	0.02137	8.411e-05	-0.001214
Kahului, HI	KAHULUI HARBOR, MAUI ISLAND	521	1615680	2.1065	0.2661	0.2477	0.1108	0.3841	0.0287	0.0230	0.0345	0.2897	0.2852	0.2940	0.3966	0.3663	0.4297	0.5826	0.4829	0.7489	0.7920	0.5834	1.2169	0.2899	0.3973	0.6012	0.8640	0.006896	1.224e-05	-0.0001228
Ketchikan, AK	KETCHIKAN	225	9450460	2.1368	1.1451	-0.2903	-0.3939	-0.1872	0.1877	0.1570	0.2183	1.2730	1.2554	1.2899	1.5260	1.4903	1.5594	1.6539	1.5991	1.7201	1.7045	1.6350	1.7943	1.2724	1.5259	1.6615	1.7293	0.003948	0.0003471	-0.0009904
Sitka, AK	SITKA	426	9451600	2.1168	0.8276	-0.0542	-0.2245	0.1167	0.1398	0.1088	0.1708	0.9305	0.9121	0.9481	1.2196	1.1659	1.2799	1.4782	1.3239	1.7033	1.6399	1.3936	2.0902	0.9297	1.2198	1.5011	1.7404	0.01078	0.0003562	-0.001561
Juneau, AK	JUNEAU	405	9452210	2.3708	1.4647	-0.0016	-0.1688	0.1657	0.1387	0.1044	0.1730	1.5840	1.5588	1.6082	1.8998	1.8195	1.9968	2.2221	2.0020	2.5184	2.4451	2.0989	3.0027	1.5833	1.9032	2.2592	2.5842	0.01034	0.0004335	-0.001437
Skagway, AK	SKAGWAY	495	9452400	2.2968	1.6095	0.0007	-0.1996	0.2008	0.1333	0.0963	0.1704	1.7205	1.6926	1.7447	2.0217	1.9387	2.1368	2.3179	2.1122	2.7314	2.5352	2.1938	3.3335	1.7190	2.0275	2.3874	2.7518	0.01484	0.0005074	-0.001978
Yakutat, AK	YAKUTAT	445	9453220	1.9212	1.1618	-0.2440	-0.4317	-0.0565	0.1685	0.1263	0.2105	1.2633	1.2417	1.2827	1.5137	1.4681	1.5657	1.6580	1.5663	1.7987	1.7186	1.5967	1.9482	1.2623	1.5158	1.6793	1.7919	0.01298	0.0006557	-0.002522
Seward, AK	SEWARD	266	9455090	1.5502	0.9916	-0.1286	-0.3404	0.0825	0.1704	0.1184	0.2223	1.0639	1.0439	1.0834	1.3828	1.3053	1.4636	1.6212	1.4559	1.8583	1.7562	1.5090	2.1908	1.0625	1.3844	1.6545	1.8740	0.01651	0.0009981	-0.00316
Seldovia, AK	SELDOVIA	1070	9455500	2.3209	1.6450	-0.0235	-0.1806	0.1338	0.1236	0.0937	0.1535	1.7479	1.7262	1.7690	2.0129	1.9510	2.0945	2.2697	2.1117	2.5178	2.4406	2.1900	2.8908	1.7472	2.0200	2.3042	2.5515	0.009129	0.0003302	-0.001164
Anchorage, AK	ANCHORAGE	1067	9455920	2.4253	1.2899	-0.2007	-0.3504	-0.0510	0.1339	0.1017	0.1661	1.3983	1.3765	1.4185	1.6034	1.5587	1.6549	1.7352	1.6530	1.8462	1.7978	1.6872	1.9671	1.3977	1.6058	1.7497	1.8446	0.008291	0.0003844	-0.001404
Adak Island, AK	ADAK SWEEPER COVE	487	9461380	1.6548	0.6023	0.0500	-0.1674	0.2675	0.0693	0.0503	0.0882	0.6375	0.6290	0.6453	0.8086	0.7705	0.8578	1.0042	0.8807	1.2314	1.1550	0.9363	1.6672	0.6372	0.8098	1.0274	1.2621	0.01748	0.0001327	-0.001174
Unalaska, AK	UNALASKA	757	9462620	1.9302	0.5859	-0.2347	-0.4065	-0.0629	0.0817	0.0599	0.1035	0.6355	0.6242	0.6463	0.7590	0.7328	0.7856	0.8315	0.7856	0.8903	0.8635	0.8032	0.9602	0.6350	0.7604	0.8408	0.8927	0.01089	0.0001759	-0.00113
San Diego, CA	SAN DIEGO (QUARANTINE STATION)	158	9410170	1.9717	0.5158	-0.0911	-0.1945	0.0125	0.0546	0.0462	0.0629	0.5517	0.5470	0.5563	0.6580	0.6429	0.6739	0.7444	0.7076	0.7886	0.7950	0.7378	0.8715	0.5518	0.6585	0.7483	0.8095	0.00397	2.571e-05	-0.0002379
Alameda, CA	ALAMEDA (NAVAL AIR STATION)	437	9414750	1.7895	0.4289	0.0378	-0.1692	0.2439	0.0884	0.0631	0.1138	0.4809	0.4676	0.4934	0.6952	0.6379	0.7661	0.9301	0.7694	1.2012	1.1142	0.8356	1.6950	0.4801	0.6978	0.9666	1.2467	0.01578	0.0002382	-0.001344
