Station Name,Country,ID,Lat.,Lon.,Coastline
FREDERICIA,DNK,81,55.561,9.754,130
AARHUS,DNK,76,56.147,10.224,130
FREDERIKSHAVN,DNK,91,57.436,10.549,130
HIRTSHALS,DNK,89,57.596,9.964,130
HANSTHOLM,DNK,703,57.119,8.596,130
ESBJERG,DNK,80,55.461,8.441,130
BARAHONA,DOM,745,18.2,-71.083,936
PUERTO PLATA,DOM,577,19.817,-70.7,936
LA LIBERTAD,ECU,555,-2.2,-80.917,845
LA LIBERTAD II,ECU,544,-2.2,-80.917,845
SAN CRISTOBAL,ECU,927,-0.9,-89.617,845
SANTA CRUZ,ECU,1472,-0.75,-90.317,845
BALTRA-B,ECU,1645,-0.433,-90.283,845
PUERTO BOLIVAR,ECU,1277,-3.267,-80,845
PORT SAID,EGY,253,31.25,32.3,330
ALEXANDRIA,EGY,503,31.217,29.917,330
LA UNION,SLV,558,13.333,-87.817,833
ACAJUTLA,SLV,1011,13.567,-89.833,833
TALLINN,EST,321,59.45,24.8,82
VILSANDI,EST,322,58.383,21.817,82
STANLEY,FLK,1082,-51.69,-57.865,863
STANLEY II,FLK,1796,-51.692,-57.821,863
TORSHAVN,FRO,839,62.017,-6.767,15
SUVA-A,FJI,1327,-18.136,178.423,742
LAUTOKA,FJI,1805,-17.605,177.438,742
KEMI,FIN,229,65.673,24.515,60
OULU / ULEABORG,FIN,79,65.04,25.418,60
RAAHE / BRAHESTAD,FIN,240,64.666,24.407,60
YKSPIHLAJA,FIN,86,63.833,23.033,60
PIETARSAARI / JAKOBSTAD,FIN,194,63.709,22.69,60
VAASA / VASA,FIN,57,63.082,21.571,60
RONNSKAR,FIN,30,63.067,20.8,60
KASKINEN / KASKO,FIN,285,62.344,21.215,60
SALGRUND,FIN,228,62.333,21.2,60
REPOSAARI,FIN,85,61.617,21.45,60
MANTYLUOTO,FIN,172,61.594,21.463,60
SAPPI,FIN,226,61.483,21.333,60
RAUMA / RAUMO,FIN,376,61.134,21.426,60
LYOKKI,FIN,16,60.85,21.183,60
LYPYRTTI,FIN,17,60.6,21.233,60
TURKU / ABO,FIN,239,60.428,22.101,60
UTO,FIN,27,59.783,21.367,60
LOHM,FIN,233,60.1,21.667,60
TVARMINNE,FIN,238,59.85,23.25,60
JUNGFRUSUND,FIN,18,59.95,22.367,60
RUSSARO,FIN,28,59.767,22.95,60
HANKO / HANGO,FIN,71,59.823,22.977,60
SKURU,FIN,142,60.1,23.55,60
HELSINKI,FIN,14,60.154,24.956,60
SODERSKAR,FIN,29,60.117,25.417,60
KOTKA,FIN,164,60.45,26.95,60
HAMINA,FIN,315,60.563,27.179,60
DUNKERQUE,FRA,468,51.048,2.367,190
CALAIS,FRA,455,50.969,1.868,190
BOULOGNE,FRA,471,50.728,1.577,190
DIEPPE,FRA,474,49.929,1.084,190
ANTIFER,FRA,1383,49.65,0.15,190
LE HAVRE,FRA,453,49.482,0.106,190
CHERBOURG,FRA,467,49.651,-1.636,190
ST. MALO,FRA,454,48.641,-2.028,190
ROSCOFF,FRA,1347,48.718,-3.966,190
LE CONQUET,FRA,1294,48.359,-4.781,190
BREST,FRA,1,48.383,-4.495,190
CONCARNEAU,FRA,1301,47.874,-3.907,190
PORT TUDY,FRA,1247,47.644,-3.446,190
LE CROUESTY,FRA,1921,47.543,-2.895,190
ST. NAZAIRE,FRA,457,47.27,-2.2,190
POINTE ST. GILDAS,FRA,1078,47.133,-2.25,190
LES SABLES D OLONNE,FRA,1747,46.498,-1.794,190
LA ROCHELLE-LA PALLICE,FRA,466,46.158,-1.221,190
PORT BLOC,FRA,1915,45.569,-1.062,190
LE VERDON,FRA,459,45.55,-1.067,190
BOUCAU,FRA,1801,43.527,-1.515,190
ARCACHON-EYRAC,FRA,1918,44.665,-1.164,190
ST JEAN DE LUZ (SOCOA),FRA,469,43.395,-1.682,190
SETE,FRA,958,43.398,3.699,230
MARSEILLE,FRA,61,43.279,5.354,230
TOULON,FRA,980,43.113,5.915,230
NICE,FRA,1468,43.696,7.286,230
AJACCIO,FRA,1929,41.923,8.763,232
ILES DU SALUT,GUF,2012,5.284,-52.587,876
"PAPEETE-B, FARE UTE POINT, SOC.IS.",PYF,1397,-17.533,-149.573,780
NUKU HIVA,PYF,1555,-8.933,-140.083,805
RIKITEA,PYF,1253,-23.122,-134.967,808
RANGIROA,PYF,2216,-14.946,-147.706,808
TUBUAI,PYF,2217,-23.342,-149.476,808
POTI,GEO,41,42.167,41.683,305
BATUMI,GEO,51,41.633,41.7,305
KOSEROW,DEU,1448,54.06,14.001,120
SASSNITZ,DEU,397,54.511,13.643,120
WARNEMUNDE 2,DEU,11,54.17,12.103,120
WISMAR 2,DEU,8,53.899,11.458,120
TRAVEMUNDE,DEU,13,53.958,10.872,125
KIEL-HOLTENAU,DEU,789,54.372,10.157,125
AMRUM (WITTDUEN),DEU,1036,54.617,8.383,140
CUXHAVEN 2,DEU,7,53.867,8.717,140
BORKUM (FISCHERBALJE),DEU,1037,53.583,6.667,140
TAKORADI,GHA,331,4.885,-1.745,410
TEMA,GHA,1049,5.617,0,410
GIBRALTAR,GIB,981,36.148,-5.365,215
PREVEZA,GRC,410,38.959,20.757,290
LEVKAS,GRC,1239,38.835,20.712,290
POSIDHONIA,GRC,409,37.951,22.96,290
PATRAI,GRC,1250,38.417,21.729,290
KATAKOLON,GRC,1240,37.645,21.32,290
KALAMAI,GRC,411,37.024,22.116,290
NORTH SALAMINOS II,GRC,1938,37.98,23.534,290
NORTH SALAMINOS,GRC,1604,37.98,23.542,290
PIRAIEVS,GRC,374,37.937,23.627,290
RAFINA,GRC,1695,38.033,24,290
KHALKIS SOUTH,GRC,1441,38.461,23.589,290
KHALKIS NORTH,GRC,1237,38.472,23.593,290
SKOPELOS,GRC,1907,39.124,23.729,290
THESSALONIKI,GRC,373,40.633,22.935,290
KAVALLA,GRC,375,40.935,24.412,290
ALEXANDROUPOLIS,GRC,1238,40.844,25.878,290
KHIOS,GRC,408,38.372,26.141,290
SIROS,GRC,1234,37.44,24.946,290
LEROS,GRC,1233,37.13,26.848,290
SOUDHAS,GRC,1232,35.487,24.082,290
SOUDHAS II,GRC,2067,35.487,24.082,290
IRAKLION,GRC,634,35.348,25.153,290
IRAKLION II,GRC,2165,35.348,25.153,290
CORFU ( KERKYRA ),GRC,1933,39.628,19.905,290
SAMOS ISLAND - VATHI,GRC,1941,37.755,26.976,290
RHODOS,GRC,1243,36.442,28.236,290
RHODOS II,GRC,2167,36.442,28.236,290
POINTE-A-PITRE,GLP,1784,16.224,-61.531,914
"APRA HARBOUR, GUAM",GUM,540,13.438,144.653,701
"PAGO BAY, GUAM",GUM,2130,13.428,144.797,701
CHAMPERICO,GTM,1201,14.283,-91.917,832
SAN JOSE,GTM,973,13.917,-90.833,832
SAN JOSE II,GTM,777,13.917,-90.817,832
SANTO TOMAS DE CASTILLA,GTM,1080,15.7,-88.617,916
PORT AU PRINCE,HTI,583,18.567,-72.35,934
PUERTO CASTILLA,HND,779,16.017,-86.033,908
PUERTO CORTES,HND,557,15.833,-87.95,908
WAGLAN ISLAND,HKG,1698,22.183,114.303,611
"CHI MA WAN, LANTAU ISLAND",HKG,987,22.233,114,611
QUARRY BAY,HKG,1674,22.291,114.213,611
NORTH POINT,HKG,333,22.3,114.2,611
TAI MIU WAN,HKG,1891,22.27,114.289,611
"TAI PO KAU, TOLO HARBOUR",HKG,1034,22.443,114.184,611
TSIM BEI TSUI,HKG,1366,22.487,114.014,611
LOK ON PAI,HKG,1685,22.367,114,611
SHEK PIK,HKG,1902,22.22,113.894,611
REYKJAVIK,ISL,638,64.151,-21.94,10
GRINDAVIK,ISL,877,63.833,-22.433,10
KANDLA,IND,596,23.017,70.217,500
VADINAR,IND,1943,22.45,69.683,500
OKHA,IND,1395,22.467,69.083,500
VERAVAL,IND,770,20.9,70.367,500
BHAUNAGAR I,IND,420,21.8,72.3,500
BHAUNAGAR II,IND,804,21.75,72.233,500
MUMBAI / BOMBAY (APOLLO BANDAR),IND,43,18.917,72.833,500
BOMBAY (PRINCES DOCK),IND,212,18.95,72.833,500
MARMAGAO,IND,1249,15.417,73.8,500
KARWAR,IND,1273,14.8,74.117,500
MANGALORE (PANAMBURU),IND,1423,12.917,74.8,500
MANGALORE,IND,696,12.85,74.833,500
COCHIN (WILLINGDON IS.),IND,438,9.967,76.267,500
TUTICORIN,IND,1072,8.75,78.2,500
TANGACHCHIMADAM,IND,1258,9.283,79.25,500
NAGAPPATTINAM,IND,1308,10.767,79.85,500
CHENNAI / MADRAS,IND,205,13.1,80.3,500
VISHAKHAPATNAM,IND,414,17.683,83.283,500
PARADIP,IND,1161,20.267,86.7,500
GANGRA,IND,1369,21.95,88.017,500
HALDIA,IND,1270,22.033,88.1,500
SAUGOR/SAGAR,IND,417,21.65,88.05,500
DUBLAT (SAUGOR IS.),IND,49,21.633,88.133,500
DIAMOND HARBOUR,IND,543,22.2,88.167,500
CALCUTTA (GARDEN REACH),IND,369,22.55,88.3,500
KIDDERPORE,IND,48,22.533,88.333,500
